"file.id"	"mean.entropy"	"mean.productivity"	"mean.Simpsons.D"	"mean.Yules.K"	"mean.Sichels.S"	"mean.Honores.H"	"p.range"	"p.entropy"	"p.std"	"i.abs.range"	"i.abs.mean"	"i.abs.std"	"i.mode"	"i.entropy"	"d.range"	"d.median"	"d.mode"	"d.entropy"	"d.eq.trans"	"d.half.trans"	"d.dotted.trans"	"len"	"glob.duration"	"note.dens"	"tonalness"	"tonal.clarity"	"tonal.spike"	"int.cont.grad.mean"	"int.cont.grad.std"	"int.cont.dir.change"	"step.cont.glob.var"	"step.cont.glob.dir"	"step.cont.loc.var"	"mode"	"h.contour"	"int.cont.glob.dir"	"int.contour.class"
"Berkowitz71"	0.874752331661265	0.644004226663801	0.0168666517956134	157.660197948737	0.0811907020872865	285.690254701661	15	0.645809651043023	3.58777523648583	8	2.36666666666667	1.35254520481699	3	0.623912036021894	0.875	2	1	0.407647093697637	0.433333333333333	0.25	0.116666666666667	61	17	3.58823529411765	0.772578998189142	1.09069039432971	0.150417929149016	3.98153672952435	7.43528779772126	0.583333333333333	3.44509606087942	-0.191247173198278	1.88888888888889	"major"	"convex"	"-1"	"ebab"
"Berkowitz72"	0.84522741354162	0.575238095238095	0.0234849120006541	203.010274068475	0.173552631578947	246.054908630575	17	0.705141542076527	4.41931024372617	12	2.1875	2.40211600267818	2	0.515467144169125	0.375	1	1	0.336570545128071	0.46875	0.34375	0.03125	33	7	4.71428571428571	0.880770225343788	1.34682566913251	0.172418210051047	3.14285714285714	6.9584193409098	0.333333333333333	4.74647638912517	-0.539427722799859	1.2280701754386	"minor"	"descending"	"-1"	"ccbe"
"Berkowitz73"	0.876110909564565	0.683257918552036	0.0274875577431358	261.127104049649	0.0642687747035573	241.85915967235	15	0.669524764002355	3.84811198649382	4	2.10810810810811	1.02153979048471	7	0.596678232833448	0.875	3	2	0.500082530862772	0.297297297297297	0.162162162162162	0.243243243243243	38	14.5	2.62068965517241	0.947469328127324	1.23014210400475	0.188018220016176	1.65743124935627	1.68188923773246	0.5	3.96971709900767	-0.320376804115476	1.21875	"major"	"convex"	"-1"	"cccb"
"Berkowitz74"	0.838051328920474	0.695806938159879	0.0248890325360914	168.973881233663	0.0533333333333333	169.844836873273	12	0.647952957659896	3.85937000585656	2	1.55555555555556	0.704792186494566	5	0.467172408562948	0.5	1	1	0.168865787407311	0.722222222222222	0.111111111111111	0.0555555555555556	19	5.25	3.61904761904762	0.906059360056116	1.10354215513397	0.217056073063815	4.56410256410256	4.85402809407396	0.5	4.16507215867343	-0.162613870277952	0.411764705882353	"major"	"convex"	"1"	"edbb"
"Berkowitz75"	0.838051328920474	0.695806938159879	0.0248890325360914	168.973881233663	0.0533333333333333	169.844836873273	12	0.734158966096178	3.80750259663625	2	1.44444444444444	0.704792186494566	5	0.495302822379215	0.5	1	1	0.168865787407311	0.722222222222222	0.111111111111111	0.0555555555555556	19	5.25	3.61904761904762	0.830503246991838	1.03915521371396	0.191905519210809	4.56410256410256	4.7063599556533	0.5	4.12992324198099	-0.149621408770327	0.382352941176471	"minor"	"convex"	"1"	"edbb"
"Berkowitz76"	0.84033520289058	0.67039627039627	0.0384693084693085	282.601280270278	0.0333333333333333	132.879773953139	12	0.637569321087759	4.08248290463863	4	2.42857142857143	1.34245960914949	1	0.424706352041029	0.5	1	1	0.305254673386299	0.142857142857143	0.642857142857143	0.0714285714285714	15	5.25	2.85714285714286	0.885223380146547	1.16922367249881	0.217227354714841	6.45897435897436	6.76963468331939	1	4.02892188289393	-0.315258658755277	0.53125	"major"	"convex"	"1"	"ebbb"
"Berkowitz77"	0.84033520289058	0.67039627039627	0.0384693084693085	282.601280270278	0.0333333333333333	132.879773953139	12	0.637569321087759	3.97252468600919	4	2.42857142857143	1.34245960914949	1	0.424706352041029	0.5	1	1	0.305254673386299	0.142857142857143	0.642857142857143	0.0714285714285714	15	5.25	2.85714285714286	0.845898087791729	1.31273061650993	0.189477129106303	6.45897435897436	6.76963468331939	1	3.89600386984486	-0.315408644418787	0.53125	"minor"	"convex"	"1"	"ebbb"
"Berkowitz78"	0.691661052315749	0.120676413512113	0.0431760403220849	365.843155546445	0.600606060606061	293.309310063026	12	0.611611922920238	3.27997839295601	12	2.38888888888889	2.10139787186364	3	0.58222512396798	0.5	1	1	0.209284612395218	0.583333333333333	0.277777777777778	0.0555555555555556	37	11.25	3.28888888888889	0.834984452015082	1.01309300316118	0.171530597597167	5.37103174603175	8.5921935543719	0.571428571428571	3.24612656289579	-0.270103225636815	1.56363636363636	"major"	"convex"	"-1"	"ebcb"
"Berkowitz79"	0.754563934045275	0.228697171658632	0.0383301019467348	339.385389620477	0.489527139527139	278.2908840446	12	0.602123558162716	3.13772932952244	12	2.16666666666667	2.15804144008934	4	0.661178987340797	0.5	1	1	0.209284612395218	0.583333333333333	0.277777777777778	0.0555555555555556	37	11.25	3.28888888888889	0.708863861157295	1.07140918319385	0.160947044058893	5.3234126984127	8.70014995709514	0.5	3.11171852965402	-0.292876109953235	1.41818181818182	"minor"	"convex"	"-1"	"ebcb"
"Berkowitz8"	0.69725118550353	0.331049865167512	0.067507525154584	546.476960262944	0.252380952380952	203.788559816996	9	0.550492193897836	2.65016826123654	1	1.77777777777778	0.427792631946499	4	0.390003391939037	1	2	1	0.168865787407311	0.722222222222222	0.111111111111111	0.0555555555555556	19	10.5	1.80952380952381	0.790961357516923	1.23822083201372	0.163267178875344	0	0	0	2.71563626189248	-0.20702934576725	0.470588235294118	"major"	"convex"	"0"	"cccc"
"Berkowitz80"	0.754789590549203	0.372401924872513	0.0507268548445019	442.358814222728	0.293571428571429	221.104282257483	10	0.548009118009635	2.43385400552232	6	1.85714285714286	1.14549959064563	2	0.499020841282602	1.25	1	1	0.218038849611788	0.714285714285714	0	0.142857142857143	29	10.5	2.76190476190476	0.884061477250164	1.30608155712734	0.199492008008539	1.33285067873303	1.36428027362821	1	2.88121128106137	-0.179979525747227	0.928571428571429	"major"	"convex"	"-1"	"cccc"
